Date,Close/Last,Volume,Open,High,Low
01/28/2025,97.52,5730533,97.34,97.53,97.29
01/27/2025,97.55,7601955,97.49,97.56,97.31
01/24/2025,97.01,6459421,96.87,97.1099,96.80
01/23/2025,96.85,7706998,96.77,96.92,96.72
01/22/2025,97.01,7283359,97.21,97.25,96.96
01/21/2025,97.24,7726045,97.15,97.28,97.09
01/17/2025,96.92,5360235,97.07,97.095,96.87
01/16/2025,96.92,9810870,96.63,97.025,96.50
01/15/2025,96.71,9562977,96.94,96.94,96.552
01/14/2025,95.88,5487559,95.86,95.93,95.7501
01/13/2025,95.85,10420720,95.94,95.95,95.735
01/10/2025,95.94,9822014,95.85,96.225,95.85
01/08/2025,96.48,7444537,96.27,96.52,96.23
01/07/2025,96.37,9153293,96.61,96.675,96.24
01/06/2025,96.71,9248349,96.72,96.7999,96.58
01/03/2025,96.81,5331125,97.03,97.0676,96.79
01/02/2025,96.91,5547684,97.07,97.205,96.78
12/31/2024,96.90,12276730,97.15,97.2099,96.83
12/30/2024,97.02,10154730,97.00,97.08,96.96
12/27/2024,96.64,8601525,96.79,96.89,96.61
12/26/2024,96.84,10620330,96.52,96.8799,96.51
12/24/2024,96.77,4739264,96.50,96.78,96.47
12/23/2024,96.66,10540780,96.95,96.9699,96.60
12/20/2024,96.96,8657695,97.05,97.22,96.94
12/19/2024,96.70,15490130,96.76,96.82,96.5045
12/18/2024,96.95,14261480,97.66,97.80,96.90
12/17/2024,98.01,7239282,98.00,98.13,97.95
12/16/2024,98.01,7124119,98.07,98.0998,97.8841
12/13/2024,97.92,6566351,98.20,98.23,97.87
12/12/2024,98.29,12353320,98.53,98.58,98.25
12/11/2024,98.69,8095829,99.08,99.1546,98.66
12/10/2024,98.92,5984610,98.87,98.99,98.804
12/09/2024,99.04,10689040,99.20,99.22,99.03
12/06/2024,99.33,12890680,99.40,99.44,99.1397
12/05/2024,99.05,8787117,98.96,99.11,98.85
12/04/2024,99.03,7448899,98.52,99.09,98.484
12/03/2024,98.71,6889766,98.97,99.06,98.67
12/02/2024,98.90,18397840,99.39,99.60,98.58
11/29/2024,99.20,9623184,99.15,99.215,99.08
11/27/2024,98.81,8749917,98.80,98.9299,98.65
11/26/2024,98.54,11303240,98.49,98.54,98.30
11/25/2024,98.69,9246256,98.53,98.70,98.43
11/22/2024,97.81,4989634,97.87,97.92,97.72
11/21/2024,97.74,6348553,97.85,98.01,97.6701
11/20/2024,97.79,5551154,97.69,97.93,97.67
11/19/2024,97.89,4735960,97.95,98.045,97.87
11/18/2024,97.75,5260760,97.55,97.82,97.465
11/15/2024,97.66,11844290,97.44,97.88,97.26
11/14/2024,97.65,7312304,97.85,97.99,97.57
11/13/2024,97.69,15834910,98.17,98.20,97.57
11/12/2024,97.71,16775680,97.98,98.14,97.6501
11/11/2024,98.28,4501340,98.30,98.33,98.16
11/08/2024,98.50,6199838,98.48,98.715,98.3748
11/07/2024,98.33,17402310,97.96,98.54,97.90
11/06/2024,97.59,9158058,97.43,97.8199,97.355
11/05/2024,98.36,6663038,98.09,98.39,97.86
11/04/2024,98.13,6630091,98.25,98.375,97.9538
11/01/2024,97.72,10387260,98.29,98.38,97.6801
10/31/2024,98.42,12754770,98.32,98.5789,98.1501
10/30/2024,98.44,11188380,98.75,98.94,98.40
10/29/2024,98.54,5421716,98.12,98.56,98.0871
10/28/2024,98.43,7363142,98.64,98.65,98.2946
10/25/2024,98.59,9028548,98.97,98.99,98.54
10/24/2024,98.79,7559385,98.68,98.95,98.60
10/23/2024,98.60,19660140,98.57,98.76,98.4815
10/22/2024,98.85,11401910,98.93,99.01,98.77
10/21/2024,98.83,6874029,99.18,99.205,98.83
10/18/2024,99.52,4973029,99.63,99.675,99.50
10/17/2024,99.45,5306334,99.60,99.66,99.42
10/16/2024,99.94,4741263,99.96,100.04,99.87
10/15/2024,99.81,7158682,99.74,99.84,99.68
10/14/2024,99.41,3512569,99.20,99.42,99.1701
10/11/2024,99.50,4878672,99.41,99.62,99.36
10/10/2024,99.47,5757678,99.45,99.55,99.2338
10/09/2024,99.53,8218472,99.64,99.67,99.47
10/08/2024,99.79,7340131,99.52,99.79,99.49
10/07/2024,99.62,6382168,99.64,99.765,99.58
10/04/2024,99.96,9641064,100.10,100.14,99.8901
10/03/2024,100.61,8751191,100.85,100.8867,100.59
10/02/2024,101.02,11700910,100.88,101.1056,100.805
10/01/2024,101.23,8811488,101.27,101.445,101.15
09/30/2024,101.27,9105421,101.44,101.4794,101.14
09/27/2024,101.50,5033279,101.41,101.56,101.325
09/26/2024,101.21,8124446,101.32,101.35,101.00
09/25/2024,101.19,9259117,101.42,101.4265,101.19
09/24/2024,101.58,5803587,101.27,101.619,101.22
09/23/2024,101.44,8428058,101.34,101.59,101.185
09/20/2024,101.48,8464907,101.43,101.65,101.315
09/19/2024,101.57,5079896,101.41,101.6101,101.3701
09/18/2024,101.56,6280106,101.68,102.03,101.53
09/17/2024,101.88,9256001,101.99,102.0301,101.825
09/16/2024,101.98,8425911,101.83,102.04,101.7482
09/13/2024,101.74,5330629,101.76,101.82,101.62
09/12/2024,101.53,6419517,101.56,101.65,101.38
09/11/2024,101.62,4184407,101.51,101.85,101.46
09/10/2024,101.65,5979509,101.34,101.70,101.31
09/09/2024,101.34,7569256,101.15,101.429,101.05
09/06/2024,101.19,8830177,101.13,101.595,100.97
09/05/2024,101.06,11921950,101.02,101.115,100.75
09/04/2024,100.80,10867810,100.43,100.85,100.40
09/03/2024,100.36,6837399,100.32,100.53,100.23
08/30/2024,100.25,7213235,100.51,100.64,100.22
08/29/2024,100.49,6912660,100.45,100.55,100.3506
08/28/2024,100.62,6960499,100.71,100.77,100.60
08/27/2024,100.71,7965500,100.48,100.74,100.43
08/26/2024,100.68,6653194,100.92,100.92,100.66
08/23/2024,100.77,6179548,100.52,100.81,100.43
08/22/2024,100.31,7893691,100.54,100.565,100.23
08/21/2024,100.72,6366682,100.61,100.90,100.43
08/20/2024,100.53,5516765,100.41,100.56,100.33
08/19/2024,100.23,4690310,100.07,100.3374,100.04
08/16/2024,100.12,6507875,100.03,100.12,99.85
08/15/2024,99.88,8628478,99.70,99.90,99.65
08/14/2024,100.30,9871619,100.15,100.40,100.14
08/13/2024,100.12,3925473,100.04,100.12,99.93
08/12/2024,99.72,7300711,99.47,99.78,99.41
08/09/2024,99.55,3879241,99.64,99.70,99.48
08/08/2024,99.20,5558079,99.11,99.28,99.07
08/07/2024,99.35,8085207,99.51,99.6142,99.24
08/06/2024,99.65,10945180,100.14,100.155,99.625
08/05/2024,100.25,12066080,100.82,100.89,100.0205
08/02/2024,100.33,9397607,99.88,100.37,99.80
08/01/2024,99.22,9642741,99.01,99.32,99.005
07/31/2024,99.11,11725120,98.81,99.12,98.6493
07/30/2024,98.58,5845841,98.52,98.64,98.38
07/29/2024,98.48,6822624,98.54,98.54,98.37
07/26/2024,98.32,4243795,98.29,98.3574,98.18
07/25/2024,97.97,12766230,97.84,98.135,97.82
07/24/2024,97.70,6578527,97.82,98.19,97.70
07/23/2024,98.00,7225976,98.095,98.18,97.98
07/22/2024,98.01,11657640,98.12,98.20,97.8625
07/19/2024,98.05,7735774,98.04,98.0969,97.97
07/18/2024,98.25,10584200,98.37,98.56,98.21
07/17/2024,98.52,5680415,98.26,98.57,98.23
