Date,Close/Last,Volume,Open,High,Low
01/28/2025,48.99,2408648,48.93,49.00,48.93
01/27/2025,48.99,2905805,49.00,49.0194,48.9442
01/24/2025,48.88,2698487,48.81,48.91,48.81
01/23/2025,48.91,3245956,48.80,48.92,48.80
01/22/2025,48.93,2920475,49.00,49.00,48.82
01/21/2025,48.97,3607661,48.90,49.00,48.90
01/17/2025,48.90,2158845,48.81,48.93,48.81
01/16/2025,48.79,2367105,48.52,48.82,48.52
01/15/2025,48.72,2729642,48.48,48.7499,48.48
01/14/2025,48.42,4467278,48.46,48.50,48.38
01/13/2025,48.51,2964770,48.49,48.55,48.49
01/10/2025,48.53,4593449,48.58,48.62,48.51
01/08/2025,48.74,2776829,48.77,48.77,48.66
01/07/2025,48.83,2934196,48.95,48.95,48.80
01/06/2025,48.96,2829287,48.91,48.98,48.90
01/03/2025,48.96,2322975,49.09,49.09,48.9549
01/02/2025,49.09,3115310,49.12,49.18,49.05
12/31/2024,49.05,3109441,49.11,49.19,49.025
12/30/2024,49.07,4711430,48.92,49.10,48.92
12/27/2024,48.91,12032120,49.12,49.12,48.91
12/26/2024,49.12,3352410,49.04,49.12,49.00
12/24/2024,49.09,2268608,48.98,49.09,48.98
12/23/2024,50.04,3522918,50.08,50.11,50.03
12/20/2024,50.15,3453505,50.18,50.21,50.14
12/19/2024,50.03,3648236,50.03,50.07,50.00
12/18/2024,50.07,2769138,50.25,50.29,50.07
12/17/2024,50.28,2951357,50.30,50.33,50.26
12/16/2024,50.29,2515819,50.33,50.34,50.2601
12/13/2024,50.29,2591674,50.40,50.4099,50.27
12/12/2024,50.31,2538679,50.48,50.505,50.30
12/11/2024,50.56,2399237,50.68,50.6999,50.55
12/10/2024,50.54,3303580,50.54,50.60,50.51
12/09/2024,50.57,2685995,50.64,50.64,50.56
12/06/2024,50.61,2555532,50.64,50.66,50.55
12/05/2024,50.55,2608463,50.50,50.57,50.50
12/04/2024,50.61,4773743,50.49,50.62,50.4797
12/03/2024,50.51,5260939,50.56,50.58,50.49
12/02/2024,50.55,4109010,50.56,50.57,50.48
11/29/2024,50.55,1609119,50.48,50.56,50.47
11/27/2024,50.30,2442243,50.29,50.33,50.245
11/26/2024,50.23,2725319,50.22,50.23,50.14
11/25/2024,50.25,2762524,50.27,50.27,50.19
11/22/2024,50.04,1969723,50.05,50.08,49.9928
11/21/2024,49.92,2737535,49.91,49.99,49.90
11/20/2024,49.88,2771661,49.83,49.9401,49.82
11/19/2024,49.94,3075127,49.92,50.01,49.92
11/18/2024,49.94,2386032,49.82,49.95,49.82
11/15/2024,49.96,2971613,49.90,49.9968,49.84
11/14/2024,49.87,2395326,49.84,49.9498,49.83
11/13/2024,49.78,2365466,49.92,49.94,49.7535
11/12/2024,49.82,2156203,49.94,49.99,49.79
