Date,Close/Last,Volume,Open,High,Low
01/28/2025,0.9997,N/A,1.0001,0.9997,0.9995
01/27/2025,1.0001,N/A,0.9995,1.0002,0.9999
01/26/2025,0.9995,N/A,0.9998,0.9997,0.9993
01/25/2025,0.9997,N/A,0.9999,0.9999,0.9997
01/24/2025,0.9998,N/A,0.9999,1.00,0.9998
01/23/2025,0.9997,N/A,0.9992,1.0002,0.9997
01/22/2025,0.9992,N/A,0.9999,0.9995,0.9992
01/21/2025,0.9999,N/A,0.9987,1.0001,0.9998
01/20/2025,0.9987,N/A,0.9989,0.999,0.9985
01/19/2025,0.9988,N/A,0.9989,0.999,0.9983
01/18/2025,0.9988,N/A,0.9996,0.9992,0.9987
01/17/2025,0.9997,N/A,0.9997,1.0004,0.9995
01/16/2025,0.9996,N/A,0.9998,1.00,0.9996
01/15/2025,0.9998,N/A,0.9996,1.0001,0.9997
01/14/2025,0.9996,N/A,0.9998,0.9997,0.9995
01/13/2025,0.9998,N/A,0.9995,0.9999,0.9998
01/12/2025,0.9995,N/A,0.9996,0.9997,0.9993
01/11/2025,0.9995,N/A,0.9998,0.9997,0.9995
01/10/2025,0.9999,N/A,1.00,0.9999,0.9998
01/09/2025,1.0001,N/A,0.9996,1.0001,0.9999
01/08/2025,0.9996,N/A,0.9999,1.00,0.9995
01/07/2025,1.00,N/A,1.0001,1.00,0.9997
01/06/2025,1.0001,N/A,0.9997,1.0005,1.0001
01/05/2025,0.9997,N/A,0.9997,0.9999,0.9995
01/04/2025,0.9997,N/A,0.9996,1.00,0.9997
01/03/2025,0.9996,N/A,0.9992,0.9997,0.9995
01/02/2025,0.9992,N/A,0.9987,0.9993,0.9991
01/01/2025,0.9987,N/A,0.9984,0.9987,0.9983
12/31/2024,0.9984,N/A,0.9987,0.9986,0.9982
12/30/2024,0.9987,N/A,0.9981,0.9987,0.9984
12/29/2024,0.998,N/A,0.9987,0.9986,0.9977
12/28/2024,0.9987,N/A,0.9987,0.9988,0.9984
12/27/2024,0.9987,N/A,0.9989,0.9987,0.9986
12/26/2024,0.9989,N/A,0.9992,0.999,0.9986
12/25/2024,0.9992,N/A,0.9992,0.9994,0.9989
12/24/2024,0.9992,N/A,0.9986,0.9994,0.9992
12/23/2024,0.9986,N/A,0.999,0.9989,0.9985
12/22/2024,0.999,N/A,0.9995,0.9993,0.9988
12/21/2024,0.9995,N/A,0.9996,0.9995,0.9993
12/20/2024,0.9995,N/A,0.9991,0.9998,0.9994
12/19/2024,0.9991,N/A,0.9995,0.9993,0.9986
12/18/2024,0.9994,N/A,0.9998,0.9995,0.9989
12/17/2024,0.9999,N/A,0.9998,1.0001,0.9997
12/16/2024,0.9998,N/A,0.9996,1.0002,0.9998
12/15/2024,0.9996,N/A,0.9997,0.9997,0.9992
12/14/2024,0.9997,N/A,1.00,0.9998,0.9996
12/13/2024,1.00,N/A,1.0001,1.0001,0.9999
12/12/2024,1.0001,N/A,1.0003,1.0003,1.0001
12/11/2024,1.0004,N/A,1.0002,1.0007,1.0003
12/10/2024,1.0002,N/A,1.0003,1.0006,1.0001
12/09/2024,1.0004,N/A,1.0005,1.0006,1.0003
12/08/2024,1.0006,N/A,1.0013,1.0008,1.0006
12/07/2024,1.0008,N/A,1.0015,1.0014,1.0007
