Date,Close/Last,Volume,Open,High,Low
01/28/2025,80.82,4399138,80.74,80.86,80.64
01/27/2025,80.845,4416707,80.74,80.8683,80.66
01/24/2025,80.42,3933229,80.26,80.515,80.23
01/23/2025,80.30,5572653,80.12,80.30,80.07
01/22/2025,80.33,7835196,80.56,80.56,80.315
01/21/2025,80.56,5042797,80.51,80.56,80.39
01/17/2025,80.23,4941000,80.33,80.3408,80.17
01/16/2025,80.19,8479290,79.97,80.32,79.87
01/15/2025,80.00,8075874,80.01,80.0879,79.87
01/14/2025,79.25,6863470,79.30,79.3897,79.13
01/13/2025,79.17,6409540,79.26,79.3462,79.14
01/10/2025,79.39,6898419,79.97,79.97,79.3013
01/08/2025,79.86,8468743,79.75,79.935,79.72
01/07/2025,79.80,7448943,79.99,80.05,79.695
01/06/2025,80.07,5056554,80.11,80.16,80.00
01/03/2025,80.14,5997710,80.40,80.435,80.12
01/02/2025,80.29,5099614,80.43,80.555,80.17
12/31/2024,80.27,3440463,80.44,80.56,80.17
12/30/2024,80.43,5226877,80.29,80.4599,80.29
12/27/2024,80.13,4321104,80.37,80.37,80.095
12/26/2024,80.33,6555796,79.97,80.34,79.9696
12/24/2024,80.24,3089636,80.10,80.25,79.95
12/23/2024,80.41,3937364,80.59,80.61,80.33
12/20/2024,80.61,7498920,80.61,80.825,80.51
12/19/2024,80.31,8704208,80.48,80.80,80.17
12/18/2024,80.53,10452100,81.39,81.4599,80.53
12/17/2024,81.36,5411729,81.41,81.43,81.31
12/16/2024,81.40,5330966,81.48,81.51,81.331
12/13/2024,81.33,7242685,81.58,81.58,81.29
12/12/2024,81.64,7961071,81.92,81.92,81.61
12/11/2024,81.93,7626146,82.26,82.26,81.91
12/10/2024,82.05,4051137,82.00,82.105,81.935
12/09/2024,82.105,5702283,82.17,82.20,82.065
12/06/2024,82.25,4029874,82.31,82.3399,82.09
12/05/2024,82.02,3521176,81.96,82.0556,81.85
12/04/2024,82.04,5018518,81.77,82.11,81.62
12/03/2024,81.77,7600183,82.03,82.10,81.75
12/02/2024,81.93,6935015,82.17,82.17,81.5526
11/29/2024,82.17,3629925,82.17,82.1893,82.0325
11/27/2024,81.81,4580500,81.82,81.88,81.615
11/26/2024,81.59,8261275,81.59,81.6176,81.39
11/25/2024,81.68,8793038,81.55,81.75,81.53
11/22/2024,81.02,4590296,81.05,81.12,80.9439
11/21/2024,80.96,5668116,81.13,81.2267,80.91
11/20/2024,81.025,5631725,81.02,81.1101,80.95
11/19/2024,81.17,5803641,81.10,81.275,81.10
11/18/2024,81.02,4740160,80.82,81.095,80.80
11/15/2024,80.89,9130326,80.67,81.04,80.50
11/14/2024,80.82,5927970,81.05,81.1199,80.715
11/13/2024,80.93,6537186,81.32,81.40,80.86
11/12/2024,81.01,6665784,81.24,81.3911,80.925
11/11/2024,81.49,2000426,81.46,81.5648,81.39
11/08/2024,81.65,6507847,81.66,81.8363,81.57
11/07/2024,81.555,8572101,81.00,81.655,81.00
11/06/2024,80.80,9353991,80.77,81.0697,80.68
11/05/2024,81.37,6031614,81.23,81.37,80.925
11/04/2024,81.14,6679487,81.23,81.33,81.0219
11/01/2024,80.74,6778273,81.26,81.38,80.71
10/31/2024,81.37,8216499,81.42,81.53,81.22
10/30/2024,81.53,7449253,81.91,81.975,81.495
10/29/2024,81.70,6197971,81.47,81.72,81.305
10/28/2024,81.61,7763474,81.83,81.83,81.505
10/25/2024,81.71,6750951,81.99,82.12,81.68
10/24/2024,81.84,5588231,81.87,81.975,81.725
10/23/2024,81.73,14190810,81.79,81.79,81.575
10/22/2024,81.92,7552483,82.00,82.01,81.795
10/21/2024,81.93,6705442,82.30,82.365,81.91
10/18/2024,82.53,7867305,82.77,82.8534,82.52
10/17/2024,82.53,11082250,82.85,82.85,82.495
